"product_key","product_name","category","subcategory","cost","last_sale_date","recency_in_months","product_segment","lifespan","total_orders","total_sales","total_quantity","total_customers","avg_selling_price","avg_order_revenue","avg_monthly_revenue"
107,"Long-Sleeve Logo Jersey- L","Clothing","Jerseys",38,"2014-01-28",143,"Mid-Range",13,452,22650.0,453.0,449,50.0,50.1106,1742.3077
108,"Long-Sleeve Logo Jersey- XL","Clothing","Jerseys",38,"2014-01-28",143,"Mid-Range",12,413,20700.0,414.0,409,50.0,50.1211,1725.0
126,"Mountain-200 Silver- 38","Bikes","Mountain Bikes",1266,"2013-12-28",144,"High-Performer",23,596,1339394.0,596.0,583,2247.3,2247.3054,58234.5217
127,"Mountain-200 Silver- 42","Bikes","Mountain Bikes",1266,"2013-12-28",144,"High-Performer",23,560,1257368.0,560.0,547,2245.3,2245.3,54668.1739
128,"Mountain-200 Silver- 46","Bikes","Mountain Bikes",1266,"2013-12-28",144,"High-Performer",23,579,1298709.0,579.0,566,2243.0,2243.0207,56465.6087
129,"Mountain-200 Black- 38","Bikes","Mountain Bikes",1252,"2013-12-28",144,"High-Performer",23,581,1292559.0,581.0,564,2224.7,2224.7143,56198.2174
130,"Mountain-200 Black- 42","Bikes","Mountain Bikes",1252,"2013-12-28",144,"High-Performer",23,614,1363128.0,614.0,604,2220.1,2220.0782,59266.4348
131,"Mountain-200 Black- 46","Bikes","Mountain Bikes",1252,"2013-12-27",144,"High-Performer",23,620,1373454.0,620.0,600,2215.2,2215.2484,59715.3913
132,"Road-250 Red- 58","Bikes","Road Bikes",1555,"2013-12-27",144,"High-Performer",23,306,702666.0,306.0,301,2296.3,2296.2941,30550.6957
133,"Road-250 Black- 44","Bikes","Road Bikes",1555,"2013-12-27",144,"High-Performer",23,271,628384.0,271.0,266,2318.8,2318.7601,27321.0435
134,"Road-250 Black- 48","Bikes","Road Bikes",1555,"2013-12-28",144,"High-Performer",23,298,691213.0,298.0,289,2319.5,2319.5067,30052.7391
135,"Road-250 Black- 52","Bikes","Road Bikes",1555,"2013-12-25",144,"High-Performer",23,319,734425.0,319.0,312,2302.3,2302.2727,31931.5217
136,"Road-250 Black- 58","Bikes","Road Bikes",1555,"2013-12-26",144,"High-Performer",23,270,622026.0,270.0,265,2303.8,2303.8,27044.6087
137,"Road-550-W Yellow- 38","Bikes","Road Bikes",713,"2013-12-26",144,"High-Performer",23,270,293760.0,270.0,267,1088.0,1088.0,12772.1739
138,"Road-550-W Yellow- 40","Bikes","Road Bikes",713,"2013-12-28",144,"High-Performer",23,266,289880.0,266.0,264,1089.8,1089.7744,12603.4783
139,"Road-550-W Yellow- 42","Bikes","Road Bikes",713,"2013-12-26",144,"High-Performer",23,306,334440.0,306.0,303,1092.9,1092.9412,14540.8696
140,"Road-550-W Yellow- 44","Bikes","Road Bikes",713,"2013-12-27",144,"High-Performer",23,287,312200.0,287.0,286,1087.8,1087.8049,13573.913
141,"Road-550-W Yellow- 48","Bikes","Road Bikes",713,"2013-12-27",144,"High-Performer",22,261,283680.0,261.0,258,1086.9,1086.8966,12894.5455
157,"Half-Finger Gloves- S","Clothing","Gloves",9,"2014-01-25",143,"Mid-Range",12,487,11688.0,487.0,478,24.0,24.0,974.0
158,"Half-Finger Gloves- M","Clothing","Gloves",9,"2014-01-28",143,"Mid-Range",12,499,11976.0,499.0,488,24.0,24.0,998.0
159,"Half-Finger Gloves- L","Clothing","Gloves",9,"2014-01-28",143,"Mid-Range",12,443,10632.0,443.0,437,24.0,24.0,886.0
160,"Classic Vest- S","Clothing","Vests",24,"2014-01-28",143,"Mid-Range",12,168,10944.0,171.0,168,64.0,65.1429,912.0
161,"Classic Vest- M","Clothing","Vests",24,"2014-01-27",143,"Mid-Range",12,199,12736.0,199.0,199,64.0,64.0,1061.3333
162,"Classic Vest- L","Clothing","Vests",24,"2014-01-28",143,"Mid-Range",12,195,12480.0,195.0,195,64.0,64.0,1040.0
163,"Women's Mountain Shorts- S","Clothing","Shorts",26,"2014-01-28",143,"Mid-Range",12,304,21280.0,304.0,304,70.0,70.0,1773.3333
164,"Women's Mountain Shorts- M","Clothing","Shorts",26,"2014-01-26",143,"Mid-Range",12,352,24640.0,352.0,352,70.0,70.0,2053.3333
165,"Women's Mountain Shorts- L","Clothing","Shorts",26,"2014-01-28",143,"Mid-Range",12,363,25410.0,363.0,363,70.0,70.0,2117.5
166,"Water Bottle - 30 oz.","Accessories","Bottles and Cages",2,"2014-01-28",143,"Mid-Range",13,4244,21245.0,4249.0,4073,5.0,5.0059,1634.2308
167,"Mountain Bottle Cage","Accessories","Bottles and Cages",4,"2014-01-28",143,"Mid-Range",13,2025,20340.0,2034.0,2004,10.0,10.0444,1564.6154
168,"Road Bottle Cage","Accessories","Bottles and Cages",3,"2014-01-25",143,"Mid-Range",12,1711,15399.0,1711.0,1699,9.0,9.0,1283.25
169,"Patch Kit/8 Patches","Accessories","Tires and Tubes",1,"2014-01-28",143,"Low-Performer",12,3189,6378.0,3189.0,2948,2.0,2.0,531.5
170,"Racing Socks- M","Clothing","Socks",3,"2014-01-28",143,"Low-Performer",12,298,2682.0,298.0,295,9.0,9.0,223.5
171,"Racing Socks- L","Clothing","Socks",3,"2014-01-27",143,"Low-Performer",12,270,2430.0,270.0,269,9.0,9.0,202.5
172,"Hitch Rack - 4-Bike","Accessories","Bike Racks",45,"2014-01-28",143,"Mid-Range",12,327,39240.0,327.0,324,120.0,120.0,3270.0
173,"Bike Wash - Dissolver","Accessories","Cleaners",3,"2014-01-28",143,"Low-Performer",12,908,7272.0,909.0,875,8.0,8.0088,606.0
174,"Fender Set - Mountain","Accessories","Fenders",8,"2014-01-28",143,"Mid-Range",12,2121,46662.0,2121.0,2110,22.0,22.0,3888.5
175,"All-Purpose Bike Stand","Accessories","Bike Stands",59,"2014-01-28",143,"Mid-Range",13,249,39591.0,249.0,243,159.0,159.0,3045.4615
176,"Hydration Pack - 70 oz.","Accessories","Hydration Packs",21,"2014-01-28",143,"Mid-Range",12,733,40315.0,733.0,719,55.0,55.0,3359.5833
177,"Short-Sleeve Classic Jersey- S","Clothing","Jerseys",42,"2014-01-28",143,"Mid-Range",12,406,21924.0,406.0,402,54.0,54.0,1827.0
178,"Short-Sleeve Classic Jersey- M","Clothing","Jerseys",42,"2014-01-27",143,"Mid-Range",12,407,21978.0,407.0,404,54.0,54.0,1831.5
179,"Short-Sleeve Classic Jersey- L","Clothing","Jerseys",42,"2014-01-26",143,"Mid-Range",12,374,20196.0,374.0,372,54.0,54.0,1683.0
180,"Short-Sleeve Classic Jersey- XL","Clothing","Jerseys",42,"2014-01-28",143,"Mid-Range",12,409,22086.0,409.0,405,54.0,54.0,1840.5
217,"Mountain Tire Tube","Accessories","Tires and Tubes",2,"2014-01-28",143,"Mid-Range",13,3092,15465.0,3093.0,2958,5.0,5.0016,1189.6154
218,"Road Tire Tube","Accessories","Tires and Tubes",1,"2014-01-28",143,"Low-Performer",13,2375,9500.0,2375.0,2225,4.0,4.0,730.7692
219,"Touring Tire Tube","Accessories","Tires and Tubes",2,"2014-01-28",143,"Low-Performer",13,1487,7435.0,1487.0,1410,5.0,5.0,571.9231
224,"LL Mountain Tire","Accessories","Tires and Tubes",9,"2014-01-28",143,"Mid-Range",12,860,21550.0,862.0,828,25.0,25.0581,1795.8333
225,"ML Mountain Tire","Accessories","Tires and Tubes",11,"2014-01-28",143,"Mid-Range",12,1160,34800.0,1160.0,1160,30.0,30.0,2900.0
226,"HL Mountain Tire","Accessories","Tires and Tubes",13,"2014-01-28",143,"Mid-Range",13,1395,48860.0,1396.0,1395,35.0,35.0251,3758.4615
227,"LL Road Tire","Accessories","Tires and Tubes",8,"2014-01-28",143,"Mid-Range",13,1043,21903.0,1043.0,1029,21.0,21.0,1684.8462
228,"ML Road Tire","Accessories","Tires and Tubes",9,"2014-01-28",143,"Mid-Range",12,925,23125.0,925.0,890,25.0,25.0,1927.0833
229,"HL Road Tire","Accessories","Tires and Tubes",12,"2014-01-28",143,"Mid-Range",13,858,28314.0,858.0,820,33.0,33.0,2178.0
230,"Touring Tire","Accessories","Tires and Tubes",11,"2014-01-25",143,"Mid-Range",12,935,27115.0,935.0,920,29.0,29.0,2259.5833
249,"Touring-2000 Blue- 60","Bikes","Touring Bikes",755,"2013-12-28",144,"High-Performer",11,81,98415.0,81.0,81,1215.0,1215.0,8946.8182
250,"Touring-1000 Yellow- 46","Bikes","Touring Bikes",1482,"2013-12-28",144,"High-Performer",11,172,410048.0,172.0,170,2384.0,2384.0,37277.0909
251,"Touring-1000 Yellow- 50","Bikes","Touring Bikes",1482,"2013-12-23",144,"High-Performer",11,151,359984.0,151.0,150,2384.0,2384.0,32725.8182
252,"Touring-1000 Yellow- 54","Bikes","Touring Bikes",1482,"2013-12-27",144,"High-Performer",11,158,376672.0,158.0,158,2384.0,2384.0,34242.9091
253,"Touring-1000 Yellow- 60","Bikes","Touring Bikes",1482,"2013-12-23",144,"High-Performer",11,140,333760.0,140.0,140,2384.0,2384.0,30341.8182
254,"Touring-3000 Blue- 54","Bikes","Touring Bikes",461,"2013-12-17",144,"Mid-Range",11,55,40810.0,55.0,55,742.0,742.0,3710.0
255,"Touring-3000 Blue- 58","Bikes","Touring Bikes",461,"2013-12-27",144,"Mid-Range",11,57,42294.0,57.0,57,742.0,742.0,3844.9091
256,"Touring-3000 Blue- 62","Bikes","Touring Bikes",461,"2013-12-23",144,"Mid-Range",10,64,47488.0,64.0,64,742.0,742.0,4748.8
257,"Touring-3000 Yellow- 44","Bikes","Touring Bikes",461,"2013-12-28",144,"Mid-Range",10,59,43778.0,59.0,59,742.0,742.0,4377.8
258,"Touring-3000 Yellow- 50","Bikes","Touring Bikes",461,"2013-12-27",144,"Mid-Range",11,59,43778.0,59.0,59,742.0,742.0,3979.8182
259,"Touring-3000 Yellow- 54","Bikes","Touring Bikes",461,"2013-12-09",145,"Mid-Range",10,48,35616.0,48.0,48,742.0,742.0,3561.6
260,"Touring-3000 Yellow- 58","Bikes","Touring Bikes",461,"2013-12-27",144,"Mid-Range",11,47,34874.0,47.0,47,742.0,742.0,3170.3636
261,"Touring-3000 Yellow- 62","Bikes","Touring Bikes",461,"2013-12-26",144,"Mid-Range",11,50,37100.0,50.0,50,742.0,742.0,3372.7273
262,"Touring-1000 Blue- 46","Bikes","Touring Bikes",1482,"2013-12-23",144,"High-Performer",11,177,421968.0,177.0,177,2384.0,2384.0,38360.7273
263,"Touring-1000 Blue- 50","Bikes","Touring Bikes",1482,"2013-12-28",144,"High-Performer",11,150,357600.0,150.0,150,2384.0,2384.0,32509.0909
264,"Touring-1000 Blue- 54","Bikes","Touring Bikes",1482,"2013-12-27",144,"High-Performer",11,160,381440.0,160.0,160,2384.0,2384.0,34676.3636
265,"Touring-1000 Blue- 60","Bikes","Touring Bikes",1482,"2013-12-27",144,"High-Performer",11,147,350448.0,147.0,147,2384.0,2384.0,31858.9091
266,"Touring-2000 Blue- 46","Bikes","Touring Bikes",755,"2013-12-27",144,"High-Performer",11,97,117855.0,97.0,97,1215.0,1215.0,10714.0909
267,"Touring-2000 Blue- 50","Bikes","Touring Bikes",755,"2013-12-27",144,"High-Performer",11,106,128790.0,106.0,106,1215.0,1215.0,11708.1818
268,"Touring-2000 Blue- 54","Bikes","Touring Bikes",755,"2013-12-28",144,"High-Performer",11,88,106920.0,88.0,88,1215.0,1215.0,9720.0
269,"Road-350-W Yellow- 40","Bikes","Road Bikes",1083,"2013-12-27",144,"High-Performer",11,246,418446.0,246.0,246,1701.0,1701.0,38040.5455
270,"Road-350-W Yellow- 42","Bikes","Road Bikes",1083,"2013-12-27",144,"High-Performer",11,235,399735.0,235.0,235,1701.0,1701.0,36339.5455
271,"Road-350-W Yellow- 44","Bikes","Road Bikes",1083,"2013-12-27",144,"High-Performer",11,216,367416.0,216.0,216,1701.0,1701.0,33401.4545
272,"Road-350-W Yellow- 48","Bikes","Road Bikes",1083,"2013-12-25",144,"High-Performer",11,232,394632.0,232.0,232,1701.0,1701.0,35875.6364
273,"Road-750 Black- 58","Bikes","Road Bikes",344,"2013-12-28",144,"High-Performer",11,334,180360.0,334.0,334,540.0,540.0,16396.3636
274,"Touring-3000 Blue- 44","Bikes","Touring Bikes",461,"2013-12-28",144,"Mid-Range",11,53,39326.0,53.0,53,742.0,742.0,3575.0909
275,"Touring-3000 Blue- 50","Bikes","Touring Bikes",461,"2013-12-23",144,"Mid-Range",11,48,35616.0,48.0,48,742.0,742.0,3237.8182
276,"Mountain-400-W Silver- 38","Bikes","Mountain Bikes",420,"2013-12-27",144,"High-Performer",11,148,113812.0,148.0,148,769.0,769.0,10346.5455
277,"Mountain-400-W Silver- 40","Bikes","Mountain Bikes",420,"2013-12-24",144,"High-Performer",11,128,98432.0,128.0,128,769.0,769.0,8948.3636
278,"Mountain-400-W Silver- 42","Bikes","Mountain Bikes",420,"2013-12-27",144,"High-Performer",11,129,99201.0,129.0,129,769.0,769.0,9018.2727
279,"Mountain-400-W Silver- 46","Bikes","Mountain Bikes",420,"2013-12-24",144,"High-Performer",11,138,106122.0,138.0,138,769.0,769.0,9647.4545
280,"Mountain-500 Silver- 40","Bikes","Mountain Bikes",308,"2013-12-26",144,"Mid-Range",11,45,25425.0,45.0,45,565.0,565.0,2311.3636
281,"Mountain-500 Silver- 42","Bikes","Mountain Bikes",308,"2013-12-27",144,"Mid-Range",11,45,25425.0,45.0,45,565.0,565.0,2311.3636
282,"Mountain-500 Silver- 44","Bikes","Mountain Bikes",308,"2013-12-25",144,"Mid-Range",11,39,22035.0,39.0,39,565.0,565.0,2003.1818
283,"Mountain-500 Silver- 48","Bikes","Mountain Bikes",308,"2013-12-27",144,"Mid-Range",11,50,28250.0,50.0,50,565.0,565.0,2568.1818
284,"Mountain-500 Silver- 52","Bikes","Mountain Bikes",308,"2013-12-25",144,"Mid-Range",11,48,27120.0,48.0,48,565.0,565.0,2465.4545
285,"Mountain-500 Black- 40","Bikes","Mountain Bikes",295,"2013-12-13",145,"Mid-Range",11,48,25920.0,48.0,48,540.0,540.0,2356.3636
286,"Mountain-500 Black- 42","Bikes","Mountain Bikes",295,"2013-12-25",144,"Mid-Range",11,49,26460.0,49.0,49,540.0,540.0,2405.4545
287,"Mountain-500 Black- 44","Bikes","Mountain Bikes",295,"2013-12-25",144,"Mid-Range",11,58,31320.0,58.0,58,540.0,540.0,2847.2727
288,"Mountain-500 Black- 48","Bikes","Mountain Bikes",295,"2013-12-26",144,"Mid-Range",11,56,30240.0,56.0,56,540.0,540.0,2749.0909
289,"Mountain-500 Black- 52","Bikes","Mountain Bikes",295,"2013-12-24",144,"Mid-Range",11,41,22140.0,41.0,41,540.0,540.0,2012.7273
293,"Road-750 Black- 44","Bikes","Road Bikes",344,"2013-12-28",144,"High-Performer",11,360,194400.0,360.0,360,540.0,540.0,17672.7273
294,"Road-750 Black- 48","Bikes","Road Bikes",344,"2013-12-28",144,"High-Performer",11,363,196020.0,363.0,363,540.0,540.0,17820.0
295,"Road-750 Black- 52","Bikes","Road Bikes",344,"2013-12-28",144,"High-Performer",12,386,208440.0,386.0,386,540.0,540.0,17370.0
